vector 1 "OBS_OpticalMonitor id:4" "Received Burst info" 1
vector 2 "OBS_OpticalMonitor id:4" "Received BCP info" 1
2 0 62 0 0
1 1.15 62 0 1750000
2 1.4000001 62 1 0
1 2.5500001 62 1 1750000
2 2.8000002 62 2 0
1 3.9500002 62 2 1750000
2 4.2000003 62 3 0
1 5.3500003 62 3 1750000
2 5.6000004 62 4 0
1 6.7500004 62 4 1750000
2 7.0000005 62 5 0
1 8.1500005 62 5 1750000
2 8.4000006 62 6 0
1 9.5500006 62 6 1750000
2 9.8000007 62 7 0
1 10.9500007 62 7 1750000
2 11.2000008 62 8 0
1 12.3500008 62 8 1750000
2 12.6000009 62 9 0
1 13.7500009 62 9 1750000
2 14.000001 62 10 0
1 15.150001 62 10 1750000
2 15.4000011 62 11 0
1 16.5500011 62 11 1750000
2 16.8000012 62 12 0
1 17.9500012 62 12 1750000
2 18.2000013 62 13 0
1 19.3500013 62 13 1750000
2 19.6000014 62 14 0
1 20.7500014 62 14 1750000
2 21.0000015 62 15 0
1 22.1500015 62 15 1750000
2 22.4000016 62 16 0
1 23.5500016 62 16 1750000
2 23.8000017 62 17 0
1 24.9500017 62 17 1750000
2 25.2000018 62 18 0
1 26.3500018 62 18 1750000
2 26.6000019 62 19 0
1 27.7500019 62 19 1750000
2 28.000002 62 20 0
1 29.150002 62 20 1750000
2 29.4000021 62 21 0
1 30.5500021 62 21 1750000
2 30.8000022 62 22 0
1 31.9500022 62 22 1750000
2 32.2000023 62 23 0
1 33.3500023 62 23 1750000
2 33.6000024 62 24 0
1 34.7500024 62 24 1750000
2 35.0000025 62 25 0
1 36.1500025 62 25 1750000
2 36.4000026 62 26 0
1 37.5500026 62 26 1750000
2 37.8000027 62 27 0
1 38.9500027 62 27 1750000
2 39.2000028 62 28 0
1 40.3500028 62 28 1750000
2 40.6000029 62 29 0
1 41.7500029 62 29 1750000
2 42.000003 62 30 0
1 43.150003 62 30 1750000
2 43.4000031 62 31 0
1 44.5500031 62 31 1750000
2 44.8000032 62 32 0
1 45.9500032 62 32 1750000
2 46.2000033 62 33 0
1 47.3500033 62 33 1750000
2 47.6000034 62 34 0
1 48.7500034 62 34 1750000
2 49.0000035 62 35 0
1 50.1500035 62 35 1750000
2 50.4000036 62 36 0
1 51.5500036 62 36 1750000
2 51.8000037 62 37 0
1 52.9500037 62 37 1750000
2 53.2000038 62 38 0
1 54.3500038 62 38 1750000
2 54.6000039 62 39 0
1 55.7500039 62 39 1750000
2 56.000004 62 40 0
1 57.150004 62 40 1750000
2 57.4000041 62 41 0
1 58.5500041 62 41 1750000
2 58.8000042 62 42 0
1 59.9500042 62 42 1750000
2 60.2000043 62 43 0
1 61.3500043 62 43 1750000
2 61.6000044 62 44 0
1 62.7500044 62 44 1750000
2 63.0000045 62 45 0
1 64.1500045 62 45 1750000
2 64.4000046 62 46 0
1 65.5500046 62 46 1750000
2 65.8000047 62 47 0
1 66.9500047 62 47 1750000
2 67.2000048 62 48 0
1 68.3500048 62 48 1750000
2 68.6000049 62 49 0
1 69.7500049 62 49 1750000
2 70.000005 62 50 0
1 71.150005 62 50 1750000
2 71.4000051 62 51 0
1 72.5500051 62 51 1750000
2 72.8000052 62 52 0
1 73.9500052 62 52 1750000
2 74.2000053 62 53 0
1 75.3500053 62 53 1750000
2 75.6000054 62 54 0
1 76.7500054 62 54 1750000
2 77.0000055 62 55 0
1 78.1500055 62 55 1750000
2 78.4000056 62 56 0
1 79.5500056 62 56 1750000
2 79.8000057 62 57 0
1 80.9500057 62 57 1750000
2 81.2000058 62 58 0
1 82.3500058 62 58 1750000
2 82.6000059 62 59 0
1 83.7500059 62 59 1750000
2 84.000006 62 60 0
1 85.150006 62 60 1750000
2 85.4000061 62 61 0
1 86.5500061 62 61 1750000
2 86.8000062 62 62 0
1 87.9500062 62 62 1750000
2 88.2000063 62 63 0
1 89.3500063 62 63 1750000
2 89.6000064 62 64 0
1 90.7500064 62 64 1750000
2 91.0000065 62 65 0
1 92.1500065 62 65 1750000
2 92.4000066 62 66 0
1 93.5500066 62 66 1750000
2 93.8000067 62 67 0
1 94.9500067 62 67 1750000
2 95.2000068 62 68 0
1 96.3500068 62 68 1750000
2 96.6000069 62 69 0
1 97.7500069 62 69 1750000
2 98.000007 62 70 0
1 99.150007 62 70 1750000
2 99.4000071 62 71 0
1 100.5500071 62 71 1750000
2 100.8000072 62 72 0
1 101.9500072 62 72 1750000
2 102.2000073 62 73 0
1 103.3500073 62 73 1750000
2 103.6000074 62 74 0
1 104.7500074 62 74 1750000
2 105.0000075 62 75 0
1 106.1500075 62 75 1750000
2 106.4000076 62 76 0
1 107.5500076 62 76 1750000
2 107.8000077 62 77 0
1 108.9500077 62 77 1750000
2 109.2000078 62 78 0
1 110.3500078 62 78 1750000
2 110.6000079 62 79 0
1 111.7500079 62 79 1750000
2 112.000008 62 80 0
1 113.150008 62 80 1750000
2 113.4000081 62 81 0
1 114.5500081 62 81 1750000
2 114.8000082 62 82 0
1 115.9500082 62 82 1750000
2 116.2000083 62 83 0
1 117.3500083 62 83 1750000
2 117.6000084 62 84 0
1 118.7500084 62 84 1750000
2 119.0000085 62 85 0
1 120.1500085 62 85 1750000
2 120.4000086 62 86 0
1 121.5500086 62 86 1750000
2 121.8000087 62 87 0
1 122.9500087 62 87 1750000
